"","card1","card2","suit/off","win","tie","loss"
"137","8","t","o","0.477137119180238","0.0454881284360162","0.477374752383746"
"138","8","j","o","0.495021822149482","0.0427724708547506","0.462205706995768"
"139","8","q","o","0.515588306882376","0.0405311346183995","0.443880558499224"
"140","8","k","o","0.538493239638013","0.0388966580314612","0.422610102330526"
"141","8","a","o","0.575677724665288","0.0368675913952921","0.38745468393942"
"142","9","t","o","0.496891803886356","0.0409590763751006","0.462149119738543"
"143","9","j","o","0.514085540006755","0.0387106555006647","0.44720380449258"
"144","9","q","o","0.534780829383307","0.0363058002268096","0.428913370389884"
"145","9","k","o","0.558207376521181","0.0343358864918121","0.407456736987007"
"146","9","a","o","0.586794832927529","0.0325326930258064","0.380672474046665"
"147","t","j","o","0.535565725089314","0.0342136207461524","0.430220654164533"
"148","t","q","o","0.555277188178822","0.032531544975013","0.412191266846165"
"149","t","k","o","0.578780528267886","0.0304351260256286","0.390784345706486"
"150","t","a","o","0.607735949928107","0.0283835875430592","0.363880462528833"
"151","j","q","o","0.565166193230486","0.0297380961375205","0.405095710631994"
"152","j","k","o","0.588605640133289","0.0275863444675758","0.383808015399135"
"153","j","a","o","0.61782527486865","0.0253325260905691","0.356842199040781"
"154","q","k","o","0.59877974113764","0.0250715991028459","0.376148659759514"
"155","q","a","o","0.627871514627605","0.0227902874050988","0.349338197967297"
"156","k","a","o","0.637621232832714","0.0210364834169953","0.341342283750291"
"157","2","2","pocket","0.504524908229811","0.0221814997624433","0.473293592007746"
"158","3","3","pocket","0.536441785678603","0.0202233176423741","0.443334896679022"
"159","4","4","pocket","0.56799670367663","0.018539436203636","0.413463860119734"
"160","5","5","pocket","0.599126122104846","0.0170561733466451","0.383817704548509"
"161","6","6","pocket","0.626896004088419","0.0152817795833522","0.357822216328229"
"162","7","7","pocket","0.656104879291743","0.0135362735732763","0.33035884713498"
"163","8","8","pocket","0.68424790853098","0.01214647363121","0.30360561783781"
"164","9","9","pocket","0.711776287747611","0.0110101477307768","0.277213564521613"
"165","t","t","pocket","0.739505867757487","0.0102055458160916","0.250288586426422"
"166","j","j","pocket","0.763217660127928","0.00919070086045109","0.227591639011621"
"167","q","q","pocket","0.786772154764754","0.00840977914058395","0.204818066094662"
"168","k","k","pocket","0.810351562303459","0.00781765926539285","0.181830778431148"
"169","a","a","pocket","0.837260878190573","0.00746772140389162","0.155271400405535"
